News,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
2002-ajA,0.7344061409198571,0.03105022279223588,0.05294135142493017,0.12192783896948806,0.059674445893488824
2003-NYT,0.7597036666329167,0.0019191491553409992,0.0675543861992488,0.1708227980124935,0.0
2004-Maj,0.7492368149093654,0.00030562822033936097,0.12505992431114354,0.09159313365130108,0.03380449890785056
2004-Tor,0.6527171523621804,0.10569243204891517,0.14943266573121586,0.09215774985768864,0.0
2004-Ind,0.34490149872463755,0.1182492384763448,0.10426520037227748,0.12873697750721125,0.3038470849195289
2005-Ind,0.0,0.01889579651163253,0.9811042034883676,0.0,0.0
2005-Tor,0.9008021778597286,0.0057570007156965705,0.03747730429906946,0.01744095027428771,0.03852256685121764
2006-ajA,0.899488597435661,0.02320809280545096,0.0,0.07730330975888805,0.0
2006-Maj,1.0,0.0,0.0,0.0,0.0
2006-Maj,0.9996504027463158,0.0,0.0003495972536842358,0.0,0.0
2006-Tim,1.0,0.0,0.0,0.0,0.0
2007-Maj,0.9738614587047658,0.0,0.0,0.0,0.026138541295234168
2007-Maj,0.10629255975187656,0.4087312424393585,0.14871472442108816,0.12854042082644876,0.20772105256122805
2007-NYT,1.0,0.0,0.0,0.0,0.0
2007-Maj,1.0,0.0,0.0,0.0,0.0
2007-Maj,0.9521310247604018,0.0,0.04786897523959824,0.0,0.0
2007-Maj,0.8565135569983355,0.03991487343722898,0.047406831522049615,0.05616473804238578,0.0
2007-Tor,0.3920245807179755,0.2662477521758326,0.2283310943507553,0.0,0.11339657275543664
2007-Maj,0.5300874798687131,0.3581144360442721,0.0,0.05829934043620502,0.053498743650809866
2007-Dai,0.7113588987991732,0.09862678009467284,0.0,0.06685698079949041,0.12315734030666355
2008-Ind,0.14396416486552166,0.4184063125595472,0.03484136453645628,0.056062336322893036,0.3467258217155817
2008-Maj,1.0,0.0,0.0,0.0,0.0
2008-Maj,0.6110042490550418,0.2303136282317632,0.0175762694606487,0.0747164077660846,0.06638944548646171
2008-Maj,0.3935387981171423,0.5697837495123684,0.036677452370489264,0.0,0.0
2009-Tim,0.0,0.0,0.0020547720140557868,0.9979452279859442,0.0
2009-NYT,0.3577030599844152,0.009084588467123029,0.047627217444776784,0.3115519053112812,0.2740332287924037
2010-Maj,0.8442883769581547,0.021923304441641804,0.024119324616106937,0.10966899398409652,0.0
2010-Maj,0.6256817168302639,0.11066738841967057,0.03322376705536752,0.23042712769469784,0.0
2010-Tim,0.6214155508842455,0.0,0.14665702962888286,0.04411907209200987,0.18780834739486196
2010-Tor,0.6343020017396273,0.2504544749428355,0.005076286564841896,0.06001054068424998,0.050156696068445375
2010-Maj,0.9433091653017932,0.0,0.0,0.056690834698206925,0.0
2011-Maj,1.0,0.0,0.0,0.0,0.0
2011-Maj,0.9896180486940988,0.0,0.010381951305901204,0.0,0.0
2011-Maj,0.17636685644087302,0.34724623672664584,0.08660569845140227,0.13624535201306914,0.2535358563680097
2011-Maj,1.0,0.0,0.0,0.0,0.0
2011-ajA,0.0,0.0,1.0,0.0,0.0
2011-ajA,0.8027734048987042,0.0,0.09537712898753582,0.0,0.10184946611376
2011-ajA,0.3763106454601789,0.0,0.1098457980435244,0.4537470496049054,0.060096506891391364
2011-Gua,0.4907685926764458,0.17293084785189425,0.026878553140184728,0.1375189743572118,0.17190303197426346
2012-Bus,1.0,0.0,0.0,0.0,0.0
2012-Tim,0.14922695939718655,0.5874774052195281,0.06604814562483198,0.13772889546826125,0.05951859429019221
2012-Maj,0.7479775539121593,0.00594061613293449,0.052821869758013,0.1932599601968933,0.0
2012-Maj,0.4225963532187188,0.0,0.1840576889209568,0.3733419356938261,0.020004022166498273
2012-Gua,0.3627835308615009,0.005711682368112438,0.28358563241974605,0.16030988262316875,0.18760927172747188
2012-Gua,0.7597036666329167,0.0019191491553409992,0.0675543861992488,0.1708227980124935,0.0
2012-Gua,0.9065173879772662,0.0,0.0,0.09348261202273378,0.0
2012-Bus,0.0,0.0,0.9982868504141456,0.0017131495858544769,0.0
2013-Gua,1.0,0.0,0.0,0.0,0.0
2013-Gua,0.5198285480881698,0.1245941660723866,0.1029772303128562,0.11920173054502213,0.13339832498156526
2013-NYT,0.8493560193089246,0.00529662287703621,0.08977067493763881,0.05082317480265961,0.004753508073740765
2013-Gua,1.0,0.0,0.0,0.0,0.0
2013-Maj,0.443391134820662,0.011357673463211615,0.06930008168189424,0.13232742729592292,0.34362368273830923
2013-NYT,0.0,1.0,0.0,0.0,0.0
2014-ajA,0.6988648702796134,0.06194998157561645,0.1099460921213972,0.05769638670364021,0.07154266931973273
2014-ail,0.5744721265680484,0.09489301738361976,0.0,0.32171574168523875,0.008919114363093129
2014-Dai,0.3604403462344056,0.13754432414679515,0.14668111547805707,0.2022231328713558,0.15311108126938638
2014-CDa,0.3690464031633646,0.0,0.15653459624726124,0.37846931541489176,0.09594968517448227
2014-Ind,0.9252767879536472,0.0,0.0,0.055611025032243834,0.01911218701410897
2014-Gua,0.0,0.0,1.0,0.0,0.0
2014-CDa,0.7450331131401344,0.1803100243027563,0.0,0.0,0.07465686255710915
2014-Maj,0.10629255975187656,0.4087312424393585,0.14871472442108816,0.12854042082644876,0.20772105256122805
2014-CDa,0.4236393119472482,0.3788444955273407,0.0,0.09012936173233327,0.10738683079307776
2014-Gua,0.9979731324601794,0.0,0.002026867539820636,0.0,0.0
2014-CDa,0.4623128674167203,0.2206482691230537,0.007075572671409303,0.11208797832237437,0.1978753124664424
2015-Ind,0.0,0.007039771060490116,0.0,0.99296022893951,0.0
2015-Maj,0.0,1.0,0.0,0.0,0.0
2015-Gua,0.0,1.0,0.0,0.0,0.0
2015-Dai,1.0,0.0,0.0,0.0,0.0
2015-Dai,0.8358829253168585,0.0,0.035432392238410215,0.12529063813952848,0.003394044305202844
2015-Tim,0.9870341176429888,0.012965882357011346,0.0,0.0,0.0
2015-Maj,0.8960593281181176,0.07849466631548152,0.0,0.0,0.02544600556640085
2015-ajA,1.0,0.0,0.0,0.0,0.0
2015-Maj,0.0,0.0,0.0,0.0,1.0
2015-Maj,0.5184134928674476,0.09082156013512438,0.0794668300626824,0.0591406881171901,0.2521574288175555
2016-ajA,0.24034847789903635,0.3945699922355552,0.04568898238533959,0.14298717545872192,0.17640537202134696
2016-Maj,0.3981045809887095,0.038284878217852265,0.40646132461653056,0.05757098529358936,0.09957823088331844
2016-Tim,0.9241018040150836,0.0,0.07589819598491655,0.0,0.0
2016-ajA,0.8630301494459149,0.0,0.0,0.04629017750167934,0.09067967305240578
2016-NYT,0.4377120668318998,0.17827524568976366,0.08995050307943935,0.09603541448275638,0.19802676991614104
2016-ail,0.9885073455216824,0.0,0.011492654478317696,0.0,0.0
2016-ajA,0.4804504627800655,0.07510481626210924,0.10213482432044477,0.2426682389673354,0.09964165767004504
2016-Tim,0.9223320688883648,0.0,0.07466718225133552,0.0,0.003000748860299605
2016-Maj,0.2719736874868897,0.15455666275907526,0.1340243866046119,0.10094194543515712,0.33850331771426595
2016-ajA,0.3744570392533345,0.008094935199630462,0.23275347593225565,0.1816429318144068,0.20305161780037248
2017-Tim,0.8741718135891964,0.0,0.12582818641080354,0.0,0.0
2017-Ind,0.0,0.0,0.0,1.0,0.0
2017-CDa,0.0,0.0,0.0,0.0,1.0
2017-Ind,0.9443913830340503,0.0,0.0,0.05560861696594962,0.0
2018-Maj,0.762287427375555,0.05823312284306214,0.024054985123919157,0.15443538511740568,0.000989079540058069
2018-Maj,0.9906129766746704,0.0,0.009387023325329456,0.0,0.0
2018-Maj,0.6278734790418946,0.004257352124509418,0.18371497699387604,0.12561835641806696,0.058535835421653075
2018-ajA,0.8051865469762669,0.0,0.0944668089250697,0.0,0.10034664409866352
2018-Maj,0.8943126169662886,0.09132331801834973,0.0053683996471806175,0.0,0.008995665368181218
2018-ail,0.3700570908442475,0.08134826531681386,0.2651987519190492,0.14145579059476646,0.14194010132512286
2018-Maj,0.785358033348883,0.0,0.08537769062577907,0.0987326762199662,0.030531599805371817
2018-Maj,1.0,0.0,0.0,0.0,0.0
2019-ajA,1.0,0.0,0.0,0.0,0.0
2019-Maj,0.0,0.0,0.0,1.0,0.0
2019-ajA,0.543227892428469,0.16884376452425864,0.02994868815612985,0.16637266849055452,0.09160698640058806
2019-Maj,0.6310253039203255,0.014342314937011384,0.1285989538571551,0.17213282917966424,0.05390059810584392
2019-Maj,0.4198808026618197,0.08202524887705116,0.1614661079963458,0.0996403114393378,0.2369875290254457
2019-Tor,0.5838631453142531,0.03570550500745435,0.040393546459775664,0.10674980739093394,0.2332879958275831
2019-CDa,0.9913063075291496,0.008693692470850464,0.0,0.0,0.0
2020-Maj,0.3023065120096851,0.21370632331408876,0.10655402149039682,0.249368742017798,0.12806440116803136
2020-Maj,1.0,0.0,0.0,0.0,0.0
2020-Maj,0.4123877095256173,0.008401027097939395,0.043430223741494405,0.2643009053916114,0.27148013424333745
2020-Maj,1.0,0.0,0.0,0.0,0.0
2020-ajA,0.2774525822691715,0.15118046353868106,0.07092604748794422,0.16549252424417668,0.3349483824600265
2020-ajA,0.5188051172739666,0.153521496440337,0.05488100877611106,0.13227396787413084,0.14051840963545442
2020-Bus,0.9415597162092296,0.006096488830799877,0.05234379495997045,0.0,0.0
2020-Maj,0.0,0.0,1.0,0.0,0.0
2020-ajA,0.6139981152290693,0.0,0.13674532048188168,0.0480630335217421,0.2011935307673069
2020-Maj,0.454757620510433,0.22804169039191585,0.052046131437958935,0.10371201256369234,0.1614425450959999
2020-Maj,1.0,0.0,0.0,0.0,0.0
2020-Maj,0.9659987611128702,0.0,0.0340012388871298,0.0,0.0
2020-Maj,0.9673783352960788,0.0,0.03262166470392122,0.0,0.0
2020-ajA,1.0,0.0,0.0,0.0,0.0
2020-Maj,0.9561677366763291,0.0,0.0,0.0,0.0438322633236708
2020-Maj,0.0,0.0,0.0,0.0,1.0
2021-Ind,1.0,0.0,0.0,0.0,0.0
2021-Ind,0.6946825994538436,0.04981433075371651,0.09397378412506682,0.05125789832906481,0.11027138733830834
